product_name,price,weight,category
M&S 4 Aberdeen Angus Beef Burgers Frozen,£4.50,454g,frozen-303714
M&S Greek Style Vanilla Frozen Yogurt,£3.50,500ml,frozen-303714
M&S 12 Vegetable Spring Rolls Frozen,£5,300g,frozen-303714
M&S Organic Mixed Vegetables Frozen,£2.95,750g,frozen-303714
M&S British Vegetable Medley Family Size,£1.75,1kg,frozen-303714
M&S Maris Piper Onion Rosti Frozen,£4,750g,frozen-303714
M&S Breaded Chicken Munchies Frozen,£4,500g,frozen-303714
M&S 5 Ready to Bake Almond & Hazelnut Croissants Frozen,£5.50,525g,frozen-303714
M&S Fine Green Beans Frozen,£1.30,500g,frozen-303714
M&S 6 Valencia Orange Juice Ice Lollies,£4.75,468g,frozen-303714
M&S Honduran Cooked King Prawns Extra Large Frozen,£5.50,200g,frozen-303714
M&S Breaded Wholetail Scampi Frozen,£7.25,300g,frozen-303714
M&S Stonebaked Garlic & Cheese Flatbread Frozen,£1.80,240g,frozen-303714
M&S Broad Bean Edamame Bean & Pea Mix Frozen,£2.40,750g,frozen-303714
M&S 4 Battered Chunky Cod Fillets Frozen,£7.25,600g,frozen-303714
M&S British Petits Pois Frozen,£1.80,1kg,frozen-303714
M&S Petits Pois & Sweetcorn Family Size Frozen,£2.50,1kg,frozen-303714
M&S Brussels Sprouts Frozen,£1.40,1kg,frozen-303714
M&S Strawberries Frozen,£3.50,500g,frozen-303714
M&S Breaded Buttermilk Chicken Tenders Frozen,£7,500g,frozen-303714
M&S Collection Organic Madagascan Raw Prawns Frozen,£6.75,260g,frozen-303714
M&S Wild Icelandic 4 Haddock Fillets Frozen,£6.25,380g,frozen-303714
M&S Butternut Squash Frozen,£1.90,500g,frozen-303714
M&S Long Grain Rice Sachets Frozen,£2.45,4 x 180g,frozen-303714
M&S 2 Sourdough Baguettes Frozen,£4,2 per pack,frozen-303714
M&S Large Cooked Greenland Prawns Frozen,£8,350g,frozen-303714
M&S Berry Mix Frozen,£4.50,1kg,frozen-303714
M&S 6 Strawberry Splits Ice Lollies,£3.25,68g,frozen-303714
M&S 12 Mini All Butter Pastries Ready to Bake Frozen,£4,340g,frozen-303714
M&S Made Without 9 Cod Fish Fingers Frozen,£4,345g,frozen-303714
M&S 4 Breaded Chunky Cod Fillets Frozen,£8.50,600g,frozen-303714
M&S British Steamed Vegetables Frozen,£2.75,4 x 160g,frozen-303714
M&S Collection West Country Madagascan Vanilla Ice Cream,£4.25,500ml,frozen-303714
M&S Raspberries Frozen,£5.25,500g,frozen-303714
M&S Strawberry & Banana Smoothie Mix Frozen,£2.75,480g,frozen-303714
M&S Haddock Mornay Frozen,£5.50,400g,frozen-303714
M&S 6 Ready to Bake Pains Aux Raisins Frozen,£4.75,576g,frozen-303714
M&S Beer Battered Cod Bites Frozen,£5,380g,frozen-303714
M&S Garlic & Herb Butter Frozen,£3.60,200g,frozen-303714
M&S Percy Pig Potato Shapes Frozen,£2.80,500g,frozen-303714
M&S 4 Lightly Dusted Cod Fillets Frozen,£8,450g,frozen-303714
M&S 5 Ready to Bake Belgian Chocolate Twists Frozen,£5.50,550g,frozen-303714
M&S Potato Croquettes Frozen,£3.40,750g,frozen-303714
Cook With M&S Chopped Coriander Frozen,£1.50,50g,frozen-303714
M&S 2 Wild Icelandic Cod Loins Frozen,£7,260g,frozen-303714
"M&S 6 Pineapple, Coconut & Lime Ice Lollies",£4.75,468g,frozen-303714
M&S Mixed Vegetables Frozen,£1.55,750g,frozen-303714
Cook With M&S Chopped Parsley Frozen,£1.50,50g,frozen-303714
M&S British Vegetable Medley Frozen,£1.35,500g,frozen-303714
N/A,£3,500ml,frozen-303714
M&S 4 Baked Jacket Potatoes Frozen,£3.50,800g,frozen-303714
M&S 4 Chocolate & Vanilla Ice Cream Cones,£2.75,73g,frozen-303714
M&S 2 Thai Style Fishcakes Frozen,£3.75,260g,frozen-303714
M&S Cornish Vanilla Dairy Ice Cream,£4.25,1L,frozen-303714
M&S Tropical Smoothie Mix Frozen,£2.75,489g,frozen-303714
M&S Alphonso Mango Sorbet,£3,500ml,frozen-303714
M&S 2 Southern Fried Chicken Burgers Frozen,£3.75,282g,frozen-303714
M&S Petit Pois Frozen,£1.60,500g,frozen-303714
M&S Chocolate Sticks,£2.40,3 per pack,frozen-303714
M&S 2 Cod Fishcakes Frozen,£3.75,260g,frozen-303714
M&S British Beef Short Rib Frozen,£10.61,Typically: 900g,frozen-303714
Cook With M&S Chopped Red Chilli Frozen,£1.85,75g,frozen-303714
M&S Rice & Vegetables Frozen,£3.60,4 x 200g,frozen-303714
M&S 6 Assorted Fruit Ice Lollies,£2.50,50g,frozen-303714
M&S Blackberries Frozen,£5.25,500g,frozen-303714
M&S 4 Smoked Haddock Fillets Frozen,£9,400g,frozen-303714
M&S Made Without 2 Cod Fillets Frozen,£4.50,245g,frozen-303714
M&S 4 Breaded Cod Fillets Frozen,£7,500g,frozen-303714
M&S 2 Lightly Dusted Yellowfin Sole Frozen,£4.50,260g,frozen-303714
M&S Tempura Vegetables,£5,230g,frozen-303714
M&S Fino Lemon Sorbet,£3,500ml,frozen-303714
M&S West Country Coconut Luxury Ice Cream,£4.25,500ml,frozen-303714
M&S 12 Mini Vegetable Samosas Frozen,£5,240g,frozen-303714
Cook With M&S Chopped Basil,£1.50,50g,frozen-303714
M&S West Country Luxury Coffee Ice Cream,£4.25,500ml,frozen-303714
M&S 4 Battered Cod Fillets Frozen,£7,500g,frozen-303714
M&S Raspberry & Mascarpone Meringue Roulade Frozen,£5.75,465g,frozen-303714
M&S 2 Salmon & Dill Fishcakes Frozen,£4,260g,frozen-303714
M&S 2 Beer Battered Cod Fillets Frozen,£6.50,360g,frozen-303714
M&S 6 Crunchy Peanut Bars,£5,6 x 50ml,frozen-303714
M&S Baby Potato Roasties Frozen,£3,600g,frozen-303714
M&S Dulce De Leche Cone,£4,340g,frozen-303714
M&S 8 Vegan Plant Kitchen Frozen Sausages,£3.50,400g,frozen-303714
M&S 3 Almond Sticks Ice Cream,£2.40,3 x 75g,frozen-303714
M&S Plant Kitchen Vegan Chicken Nuggets Frozen,£3.50,300g,frozen-303714
M&S Ice Cubes,£1.50,1kg,frozen-303714
M&S 3 White Chocolate Sticks Ice Cream,£2.40,75g,frozen-303714
M&S Fish Mix Frozen,£7.75,400g,frozen-303714
M&S Collection Pistachio Luxury Ice Cream,£4.25,500ml,frozen-303714
M&S Mackerel Fillets Frozen,£6.50,380g,frozen-303714
M&S Collection 3 Milk Chocolate & Honeycomb Ice Creams,£3.75,210g,frozen-303714
M&S Mango Frozen,£3.50,500g,frozen-303714
M&S Plant Kitchen Chicken Pieces Frozen,£4,300g,frozen-303714
M&S 4 Vegan Burgers Frozen,£2.70,400g,frozen-303714
M&S Green Smoothie Mix Frozen,£2.75,489g,frozen-303714
M&S Seafood Selection Frozen,£6.25,300g,frozen-303714
M&S Yorkshire Puddings Frozen,£2.20,264g,frozen-303714
M&S 4 Seabass Fillets with Garlic & Lemon Butter Frozen,£10,420g,frozen-303714
M&S Handmade Mini Prawn Toasts Frozen,£5,230g,frozen-303714
M&S 2 Cod Mornay Fishcakes Melt in the Middle Frozen,£4,290g,frozen-303714
M&S Toffee & Pecan Meringue Roulade Frozen,£5.75,465g,frozen-303714
M&S Stonebaked Woodfired Margherita Pizza Frozen,£4.50,380g,frozen-303714
M&S Stonebaked Woodfired Ham & Mascarpone Pizza Frozen,£4.50,390g,frozen-303714
M&S Cornish Clotted Cream Chocolate Ice Cream,£4.25,1L,frozen-303714
M&S Potato Topped Fisherman's Pie Frozen,£5.50,700g,frozen-303714
M&S Potato Topped Fisherman's Pie Frozen,£3,270g,frozen-303714
M&S Potato Topped Ocean Pie Frozen,£3,270g,frozen-303714
M&S 2 Garlic & Herb Chicken Kyivs Frozen,£3,285g,frozen-303714
M&S Banana & Blueberry Kefir Smoothie Frozen,£2.80,480g,frozen-303714
M&S 2 Halibut Fillets Frozen,£12,280g,frozen-303714
M&S Cooked Chilean Mussels Frozen,£4,300g,frozen-303714
M&S 4 Raspberry & Mascarpone Meringue Roulades Frozen,£6,370g,frozen-303714
M&S 6 Giant Cocktail Ice Balls,£4,603g,frozen-303714
M&S Filo Pastry Frozen,£2.40,270g,frozen-303714
M&S Cornish Raspberry Ripple Ice Cream,£4.25,1L,frozen-303714
M&S Collection West Country Chocolate Ice Cream,£4.25,500ml,frozen-303714
M&S Low Fat Salted Caramel Ice Cream,£4,500ml,frozen-303714
M&S Cornish Vanilla Ice Cream,£6,2L,frozen-303714
M&S 4 Toffee & Pecan Meringue Roulades Frozen,£6,370g,frozen-303714
M&S Stonebaked Woodfired Salami Napoli Pizza Frozen,£4.50,370g,frozen-303714
M&S Mini Percy Pig Curly Tails,£3.40,225g,frozen-303714
M&S 2 Bacon & Cheese Turnovers Frozen,£6,276g,frozen-303714
M&S Cornish Honeycomb Ice Cream,£4.25,1L,frozen-303714
M&S Pineapple Frozen,£3.50,500g,frozen-303714
M&S Stonebaked Woodfired Roasted Vegetable Pizza Frozen,£4.50,440g,frozen-303714
M&S Mini Cod & Pea Fishcakes Frozen,£5,388g,frozen-303714
M&S Low Fat Birthday Cake Ice Cream,£4,500ml,frozen-303714
M&S Low Fat Madagascan Vanilla Ice Cream,£4,500ml,frozen-303714
M&S 6 All Butter Triple Belgian Chocolate Cookies Frozen,£4.50,300g,frozen-303714
M&S Collection West Country Salted Caramel Ice Cream,£4.25,500ml,frozen-303714
M&S Banoffee Pie Frozen,£5.50,470g,frozen-303714
M&S British Beef Cheek Frozen,£10.20,Typically: 475g,frozen-303714
M&S 6 Coconut Mochi Bites,£4.75,240g,frozen-303714
M&S Collection Very Berry Pavlova Frozen,£13,670g,frozen-303714
M&S Collection Basque Cheesecake Frozen,£11,750g,frozen-303714
M&S Our Best Ever 12 Prawn Toasts Frozen,£8,312g,frozen-303714
M&S Rice & Vegetables Frozen,£2.70,500g,frozen-303714
M&S 8 Vegan Breaded Fish Fingers Frozen,£3.50,300g,frozen-303714
M&S Cornish Rhubarb Ice Cream,£4.25,1L,frozen-303714
M&S 10 Malaysian Style Curry Puffs Frozen,£5,250g,frozen-303714
M&S 14 Mini Hoisin Bao Buns Frozen,£5,280g,frozen-303714
M&S Collection 4 Orkney Crab Claws Frozen,£8.50,270g,frozen-303714
M&S Ready to Bake Caramelised Apple Tart Frozen,£6.75,400g,frozen-303714
M&S Cornish Chocolate Ice Cream,£6,2L,frozen-303714
M&S Garlic & Herb King Prawns Frozen,£6,250g,frozen-303714
M&S Chocolate & Orange Torte Frozen,£7.50,350g,frozen-303714
M&S 2 Sicilian Lemon Tarts Frozen,£4.25,140g,frozen-303714
N/A,£3,200g,frozen-303714
Cook With M&S Chopped Garlic Frozen,£2,150g,frozen-303714
M&S 2 Mushroom & Cheese Turnovers Frozen,£6,280g,frozen-303714
M&S Italian Tomato Sauce Frozen,£3.40,200g,frozen-303714
M&S White Chocolate & Passion Fruit Ice Cream,£3.75,210g,frozen-303714
M&S Red Wine Sauce,£3.40,200g,frozen-303714
M&S Mini Cookie Dough Birthday Cake Ice Cream Bites,£4.75,204g,frozen-303714
M&S Garlic & Herb Beef Joint Frozen,£12.50,770g,frozen-303714
M&S Lemon & Herb Madagascan Prawns,£9,335g,frozen-303714
M&S Garlic & Herb Flat Iron Steak Frozen,£10,550g,frozen-303714
M&S Mixed Berry Baked Cheesecake Frozen,£7.50,626g,frozen-303714
M&S Apple & Berry Cobbler Frozen,£6,436g,frozen-303714
M&S Collection Apricot & Almond Tart Frozen,£16,930g,frozen-303714
M&S British Beef Fillet Wellington Frozen,£30,503g,frozen-303714
M&S Collection Smoky Seafood Bake Frozen,£13,615g,frozen-303714
M&S Plant Kitchen Madagascan Vanilla Ice Cream,£4,500ml,frozen-303714
M&S All Butter Shortcrust Pastry Frozen,£4.75,500g,frozen-303714
M&S Deep Dish New York Baked Cheesecake Frozen,£7,530g,frozen-303714
M&S Layered Speculoos & Caramel Italian Gelato,£5.50,440g,frozen-303714
M&S British Beef Ossobuco Frozen,£8,Typically: 400g,frozen-303714
M&S Smoked Haddock & Leek Pie Frozen,£12.50,486g,frozen-303714
M&S Mini Cookie Dough Ice Cream Bites,£4.75,204g,frozen-303714
M&S The Brookie Frozen,£6.75,594g,frozen-303714
M&S Movie Night Popcorn Flavour Ice Cream,£4,500ml,frozen-303714
M&S 6 Passion Fruit Mochi Bites,£4.75,240g,frozen-303714
M&S Lime & Chilli King Prawns Frozen,£7,250g,frozen-303714
M&S 6 Mochi Mango Bites,£4.75,240g,frozen-303714
M&S Berries & White Chocolate Mini Ice Cream Bites,£4.75,204g,frozen-303714
M&S Collection 8 Curried Mango & Coconut Jumbo Prawns Frozen,£9,335g,frozen-303714
M&S 5 Super Loop Lollies,£2.50,250g,frozen-303714
M&S Salted Caramel Mini Bites Ice Cream,£4.75,204g,frozen-303714
M&S Collection Black Forest Iced Gateau,£15,990g,frozen-303714
M&S 4 Percy Pig Ice Cream Cones,£3.25,120ml,frozen-303714
M&S 12 Mini Duck Spring Rolls Frozen,£5,256g,frozen-303714
M&S 4 Strawberry Ice Cream Cones,£2.50,73g,frozen-303714
M&S British Oakham Turkey Breast Joint Boneless Frozen,£36,1.68kg,frozen-303714
M&S Our Best Ever 12 Mini Pork Sausage Rolls Frozen,£8,684g,frozen-303714
M&S British Garden Peas Frozen,£1.60,1kg,frozen-303714
M&S Scottish Salmon Portions Frozen,£10.50,400g,frozen-303714
M&S Blueberries Frozen,£5.25,500g,frozen-303714
M&S Oakham Gold Chicken Breast Fillets Frozen,£9,1kg,frozen-303714
M&S Whole Leaf Spinach Frozen,£1.75,750g,frozen-303714
M&S Salt & Pepper Squid Frozen,£5,340g,frozen-303714
M&S Plant Kitchen No Chicken Kyivs Frozen,£5,360g,frozen-303714
M&S Beef Bone Broth Frozen,£5,200g,frozen-303714
M&S Hash Browns Frozen,£3.50,750g,frozen-303714
M&S Argentinian Red Prawns Frozen,£7,180g,frozen-303714
M&S Chocolate Peanut Cones,£3.75,280g,frozen-303714
M&S Oakham Gold Chicken Thighs Frozen,£5,1.25kg,frozen-303714
M&S Oakham Gold Chicken Mini Fillets Frozen,£9,1kg,frozen-303714
M&S Collection 2 Monkfish Chunks Frozen,£8.75,250g,frozen-303714
M&S 2 Lemon & Herb Scottish Haddock Frozen,£5,270g,frozen-303714
M&S 4 Battered Chunky Haddock Fillets Frozen,£7.25,600g,frozen-303714
M&S 4 Chocolate Heaven Cones,£4,340ml,frozen-303714
M&S British Blackberries Frozen,£3.20,300g,frozen-303714
M&S Chicken Bone Broth Frozen,£5,200g,frozen-303714
M&S Collection 2 Hake Fillets Frozen,£5.50,280g,frozen-303714
M&S Creamy Coconut Bars,£5,6 x 50ml,frozen-303714
M&S Wild Canadian Raw Scallops Frozen,£11.25,300g,frozen-303714
Ocado Sweetcorn Cobettes Family Pack,£2.20,,best-of-fresh-294566
Galbani Italian Mozzarella Cheese,£1.25,,best-of-fresh-294566
Ocado Red Peppers,£1.85,,best-of-fresh-294566
M&S Sugardrop Tomatoes,£2.75,220g,best-of-fresh-294566
M&S Baby Cucumbers,£1.25,200g,best-of-fresh-294566
M&S Maris Piper Potatoes,£2.65,2.5kg,best-of-fresh-294566
M&S Collection Wild Pacific 2 Sockeye Salmon Fillets,£8,220g,best-of-fresh-294566
M&S Our Best Ever Trifle,£3,150g,best-of-fresh-294566
M&S Mixed Radish,£1,150g,best-of-fresh-294566
Cook With M&S Sage,85p,25g,best-of-fresh-294566
M&S Carrots,55p,500g,best-of-fresh-294566
M&S Filtered Semi Skimmed British Milk,£2.10,2L,best-of-fresh-294566
M&S Raspberries,£3.90,250g,best-of-fresh-294566
M&S Blueberries,£2.50,150g,best-of-fresh-294566
M&S British Parsnips,75p,500g,best-of-fresh-294566
M&S Sugardrop Tomatoes,£3,360g,best-of-fresh-294566
M&S Tangerines Family Pack,£2.50,600g,best-of-fresh-294566
M&S Macaroni Cheese,£6,800g,best-of-fresh-294566
M&S Collection Scottish Smoky & Robust Smoked Salmon,£6.25,100g,best-of-fresh-294566
M&S Vanilla High Protein Yogurt,£1.25,200g,best-of-fresh-294566
M&S British Rhubarb,£3.50,400g,best-of-fresh-294566
M&S Extra Fine Asparagus,£2.25,110g,best-of-fresh-294566
M&S Mighty Cajun Chicken Tenders,£4.75,300g,best-of-fresh-294566
M&S British Purple Sprouting Broccoli,£2.25,200g,best-of-fresh-294566
M&S Strawberries,£3.90,400g,best-of-fresh-294566
N/A,£1.87,600g,best-of-fresh-294566
M&S Organic Fairtrade Bananas,£1.60,5 per pack,best-of-fresh-294566
M&S Blueberries Family Pack,£3.90,300g,best-of-fresh-294566
M&S Perfectly Ripe Medium Hass Avocados,£1.90,2 per pack,best-of-fresh-294566
M&S Young Spinach Washed & Ready to Cook,£1.20,80g,best-of-fresh-294566
M&S Scottish Oak Smoked Salmon Slices,£5,100g,best-of-fresh-294566
M&S Raspberries,£3.90,250g,best-of-fresh-294566
M&S 2 Chicken Kyivs,£5.50,320g,best-of-fresh-294566
M&S Organic Houmous,£1.20,170g,best-of-fresh-294566
M&S Strawberries,£3,227g,best-of-fresh-294566
M&S British Wafer Thin Ham,£2.75,125g,best-of-fresh-294566
M&S Blueberries,£2.50,150g,best-of-fresh-294566
M&S Kiwi Perfectly Ripe,£2.65,4 per pack,best-of-fresh-294566
M&S Raspberries,£2.50,150g,best-of-fresh-294566
M&S Crispy Breaded Chicken Tenders,£4.75,300g,best-of-fresh-294566
M&S Tangerines Family Pack,£2.50,600g,best-of-fresh-294566
M&S Sugardrop Tomatoes,£3,360g,best-of-fresh-294566
M&S British Round Lettuce,75p,,best-of-fresh-294566
Cook With M&S Large Coriander,£1.50,100g,best-of-fresh-294566
M&S Large Free Range Eggs,£2.70,6 per pack,best-of-fresh-294566
M&S British Buttermilk Mini Chicken Tenders,£4.75,300g,best-of-fresh-294566
M&S British Sliced Honey Roast Ham,£2.25,125g,best-of-fresh-294566
M&S British Roast Chicken Slices,£3.80,130g,best-of-fresh-294566
M&S Wafer Thin Chicken Breast Slices,£2.90,140g,best-of-fresh-294566
M&S British Rare Roast Beef 5 Slices,£3.65,85g,best-of-fresh-294566
M&S Fine Egg Noodles,£1.75,275g,best-of-fresh-294566
M&S Seedless Oranges,£2.50,4 per pack,best-of-fresh-294566
"M&S Tenderstem Broccoli, Carrot & Sugar Snap Peas",£1.20,80g,best-of-fresh-294566
M&S Wild Rocket Washed & Ready to Eat,£2.30,120g,best-of-fresh-294566
M&S Luxury Madagascan Vanilla Yogurt,£1,150g,best-of-fresh-294566
M&S British Honey Roast Ham Wafer Thin,£2.75,125g,best-of-fresh-294566
M&S British Lean Corned Beef 4 Slices,£2.75,140g,best-of-fresh-294566
M&S Peeled Large King Prawns,£5,140g,best-of-fresh-294566
M&S Collection British 12 Pork Chipolatas,£3.90,375g,best-of-fresh-294566
M&S Italian Diced Pancetta,£3,130g,best-of-fresh-294566
M&S British Sliced Breaded Ham,£2.75,125g,best-of-fresh-294566
Cook With M&S Dill,85p,25g,best-of-fresh-294566
M&S British Ready to Cook Rotisserie Whole Chicken,£6,1.55kg,best-of-fresh-294566
M&S Buttery Mash Potato,£3,450g,best-of-fresh-294566
M&S British 4 Chicken Breast Steaks,£5,500g,best-of-fresh-294566
M&S Rainbow Mixed Vegetable Stir Fry,£2.75,220g,best-of-fresh-294566
M&S Collection British 6 Cumberland Sausages,£4.25,400g,best-of-fresh-294566
M&S Select Farms British Skimmed Milk 2 Pints,£1.20,1.136L,best-of-fresh-294566
M&S Brown Cooking Onions,88p,1kg,best-of-fresh-294566
M&S Houmous,£1.75,200g,best-of-fresh-294566
Cook With M&S Chives,85p,25g,best-of-fresh-294566
Cook With M&S Coriander,85p,25g,best-of-fresh-294566
M&S Fine Beans,£1.20,80g,best-of-fresh-294566
Cook With M&S Thyme Sprigs,85p,25g,best-of-fresh-294566
M&S Luxury Lemon & Lime Curd Yoghurt,£1,150g,best-of-fresh-294566
M&S Luxury Strawberries & Cream Yogurt,£1,150g,best-of-fresh-294566
M&S Southern Style Chicken Breast Tenders,£4.75,300g,best-of-fresh-294566
M&S British Wiltshire Roast Ham 6 Slices,£3.65,110g,best-of-fresh-294566
M&S Quiche Lorraine,£4,400g,best-of-fresh-294566
M&S Luxury Honey & Ginger Yoghurt,£1,150g,best-of-fresh-294566
M&S Deli Style Coleslaw,£2.40,300g,best-of-fresh-294566
M&S Seasoned British Beef Stir Fry Strips,£4.75,250g,best-of-fresh-294566
M&S Collection British Wiltshire Outdoor Bred Back Bacon Rashers Unsmoked,£4,240g,best-of-fresh-294566
M&S Organic Baby Leaf Rocket Salad,£2.20,80g,best-of-fresh-294566
M&S High Protein Lentil Noodles with Turmeric,£1.75,275g,best-of-fresh-294566
M&S Pea Shoots,£2.20,80g,best-of-fresh-294566
M&S British Wafer Thin Smoked Ham,£2.75,125g,best-of-fresh-294566
M&S Mexican Sliced Chicken,£3,120g,best-of-fresh-294566
M&S Italian Pasta & Spinach Salad,£2.90,200g,best-of-fresh-294566
M&S Collection 8 Great British Pork Bangers,£4.25,454g,best-of-fresh-294566
M&S Pineapple Chunks,£1.75,150g,best-of-fresh-294566
M&S Vegetable Stir Fry,£2.50,550g,best-of-fresh-294566
M&S Young Spinach Washed & Ready to Cook,£2.40,320g,best-of-fresh-294566
M&S Southern Fried Chicken Burgers,£4.50,282g,best-of-fresh-294566
M&S British Butter Basted Chicken 3-5 Slices,£3.65,100g,best-of-fresh-294566
M&S Roasted Vegetable Couscous,£2.90,200g,best-of-fresh-294566
M&S Lamb's Lettuce,£2.20,80g,best-of-fresh-294566
M&S Bistro Salad Washed & Ready to Eat,£2.20,160g,best-of-fresh-294566
M&S British Wafer Thin Roast Silverside Beef,£2.75,80g,best-of-fresh-294566
M&S 12 Sausage Rolls,£3.50,360g,best-of-fresh-294566
M&S Super Nutty Wholefood Salad,£2.75,200g,best-of-fresh-294566
M&S 4 Lamb Shish Kebabs,£5,300g,best-of-fresh-294566
M&S Collection British 6 Pork Sausages,£4.25,400g,best-of-fresh-294566
M&S Carrot Batons,£1.35,400g,best-of-fresh-294566
M&S British Wafer Thin Roast Beef,£3,95g,best-of-fresh-294566
M&S Red & Gold Santini Tomatoes,£1.80,340g,best-of-fresh-294566
